id,id,timestamp,timestamp,type,type,prob,phase_amplitude,phase_amplitude,event_idx,prob_gamma
AV.PVV..SH,AV.PVV..SH,2021-09-25T02:02:49.120000,2021-09-25T02:02:49.120000,S,S,0.49,4.211127588860109e-07,4.211127588860109e-07,4,5.668564786274356e-06
AV.PVV..SH,AV.PVV..SH,2021-09-25T02:06:44.640000,2021-09-25T02:06:44.640000,S,S,0.434,2.305777542233045e-07,2.305777542233045e-07,-1,-1.0
AV.PVV..SH,AV.PVV..SH,2021-09-25T02:07:14.460000,2021-09-25T02:07:14.460000,S,S,0.309,4.530549801984307e-07,4.530549801984307e-07,-1,-1.0
AV.PVV..SH,AV.PVV..SH,2021-09-25T02:08:22.400000,2021-09-25T02:08:22.400000,S,S,0.57,2.6095361249645066e-07,2.6095361249645066e-07,-1,-1.0
AV.PVV..SH,AV.PVV..SH,2021-09-25T02:09:05.540000,2021-09-25T02:09:05.540000,S,S,0.349,3.738072678061144e-07,3.738072678061144e-07,-1,-1.0
AV.PVV..SH,AV.PVV..SH,2021-09-25T02:13:16.560000,2021-09-25T02:13:16.560000,S,S,0.458,3.2242098768620053e-07,3.2242098768620053e-07,-1,-1.0
AV.PVV..SH,AV.PVV..SH,2021-09-25T02:14:00.160000,2021-09-25T02:14:00.160000,S,S,0.709,3.622931501467974e-07,3.622931501467974e-07,5,5.668564786274356e-06
AV.PVV..SH,AV.PVV..SH,2021-09-25T02:16:20.400000,2021-09-25T02:16:20.400000,S,S,0.388,4.79053426261089e-07,4.79053426261089e-07,6,0.001333157206952553
AV.PVV..SH,AV.PVV..SH,2021-09-25T02:17:01.440000,2021-09-25T02:17:01.440000,S,S,0.462,4.1083572455136164e-07,4.1083572455136164e-07,7,1.9525778079438133e-05
AV.PVV..SH,AV.PVV..SH,2021-09-25T05:59:05.980000,2021-09-25T05:59:05.980000,S,S,0.531,4.300005969071208e-07,4.300005969071208e-07,9,1.9525778079438133e-05
AV.S12K..BH,AV.S12K..BH,2021-09-25T06:33:29.640000,2021-09-25T06:33:29.640000,P,P,0.508,8.650770269014174e-07,8.650770269014174e-07,11,0.00031328057992674024
AV.S12K..BH,AV.S12K..BH,2021-09-25T06:34:18.840000,2021-09-25T06:34:18.840000,P,P,0.506,1.1210912589376676e-06,1.1210912589376676e-06,-1,-1.0
AV.S12K..BH,AV.S12K..BH,2021-09-25T06:50:50.940000,2021-09-25T06:50:50.940000,P,P,0.79,1.0162929129364784e-06,1.0162929129364784e-06,-1,-1.0
AV.S12K..BH,AV.S12K..BH,2021-09-25T00:00:40.680000,2021-09-25T00:00:40.680000,S,S,0.649,1.2196525176477737e-06,1.2196525176477737e-06,1,0.001333157206952553
